loss,mean_squared_error,mean_absolute_error,PSNR,SSIM,MIX,val_loss,val_mean_squared_error,val_mean_absolute_error,val_PSNR,val_SSIM,val_MIX
0.0719494,0.00328691,0.0408766,25.2429,0.922132,0.0719494,0.0716469,0.00325287,0.0406276,25.2916,0.922445,0.0716469
0.0718148,0.00325096,0.0407213,25.3056,0.922263,0.0718148,0.0716156,0.00323312,0.0407809,25.3049,0.922511,0.0716156
0.0716704,0.00321962,0.0405724,25.3606,0.922406,0.0716704,0.0714339,0.00318034,0.0404316,25.3998,0.922661,0.0714339
0.071549,0.00318674,0.0404278,25.4148,0.922523,0.071549,0.071283,0.00316493,0.0402818,25.4386,0.922812,0.071283
0.0714346,0.00315734,0.0402862,25.4674,0.922632,0.0714346,0.0711705,0.00313756,0.0401035,25.5012,0.922912,0.0711704
0.0713442,0.00313401,0.0401939,25.51,0.922723,0.0713442,0.0711127,0.00310619,0.0400744,25.5347,0.922975,0.0711127
0.0712551,0.00310672,0.0400761,25.5565,0.922806,0.0712551,0.0710108,0.00307494,0.0398093,25.6109,0.923046,0.0710108
0.0711782,0.00308163,0.0399512,25.6029,0.922874,0.0711782,0.0709752,0.00307134,0.0398446,25.6328,0.923095,0.0709752
0.0710824,0.00306016,0.039842,25.6432,0.922967,0.0710824,0.0708862,0.00306869,0.0398253,25.6441,0.923197,0.0708862
0.0710287,0.00304131,0.0397657,25.6777,0.923016,0.0710287,0.0707792,0.00301581,0.0395318,25.7213,0.923269,0.0707792
0.0709661,0.00302264,0.0396874,25.7127,0.923076,0.0709661,0.0707626,0.00302989,0.0395871,25.7254,0.923299,0.0707626
